"Format","MoTeC CSV File"
"Sample Rate","30","Hz"

"Time","Track","Lap Progression","Ground Speed","Driver Throttle Pos","Brake Pressure F","Brake Pressure R","Clutch Pos","Steering Angle","Fuel Remaining","Gear"
"s","","","km/h","%","bar","bar","%","deg","l",""

"0.000","test_track","0.0000","120","0.80","0","0","0","5","50.00","4"
"0.033","test_track","0.0050","122","0.85","0","0","0","3","49.99","4"
"0.067","test_track","0.0100","125","0.90","0","0","0","0","49.98","4"
"0.100","test_track","0.0150","128","0.95","0","0","0","-2","49.97","4"
"0.133","test_track","0.0200","130","1.00","0","0","0","-5","49.96","4"
"0.167","test_track","0.0250","132","1.00","0","0","0","-3","49.95","5"
"0.200","test_track","0.0300","135","1.00","0","0","0","0","49.94","5"
"0.233","test_track","0.0350","138","1.00","0","0","0","2","49.93","5"
"0.267","test_track","0.0400","140","1.00","0","0","0","5","49.92","5"
"0.300","test_track","0.0450","142","0.95","0","0","0","8","49.91","5"
"0.333","test_track","0.0500","144","0.80","5","5","0","10","49.90","5"
"0.367","test_track","0.0550","142","0.50","15","15","0","15","49.89","4"
"0.400","test_track","0.0600","138","0.20","30","30","0","20","49.88","4"
"0.433","test_track","0.0650","130","0.00","50","50","0","25","49.87","3"
"0.467","test_track","0.0700","120","0.00","60","60","0","30","49.86","3"
"0.500","test_track","0.0750","110","0.00","55","55","0","28","49.85","3"
"0.533","test_track","0.0800","105","0.00","40","40","0","25","49.84","2"
"0.567","test_track","0.0850","95","0.10","20","20","0","20","49.83","2"
"0.600","test_track","0.0900","90","0.30","5","5","0","15","49.82","2"
"0.633","test_track","0.0950","88","0.50","0","0","0","10","49.81","2"
"0.667","test_track","0.1000","90","0.70","0","0","0","5","49.80","2"
"0.700","test_track","0.1050","95","0.85","0","0","0","0","49.79","3"
"0.733","test_track","0.1100","100","0.95","0","0","0","-2","49.78","3"
"0.767","test_track","0.1150","108","1.00","0","0","0","-5","49.77","3"
"0.800","test_track","0.1200","115","1.00","0","0","0","-3","49.76","4"
"0.833","test_track","0.1250","122","1.00","0","0","0","0","49.75","4"
"0.867","test_track","0.1300","128","1.00","0","0","0","2","49.74","4"
"0.900","test_track","0.1350","135","1.00","0","0","0","5","49.73","5"
"0.933","test_track","0.1400","140","1.00","0","0","0","3","49.72","5"
"0.967","test_track","0.1450","145","1.00","0","0","0","0","49.71","5"
"1.000","test_track","0.1500","150","1.00","0","0","0","-2","49.70","5"
"1.033","test_track","0.1550","155","0.95","0","0","0","-5","49.69","5"
"1.067","test_track","0.1600","158","0.90","0","0","0","-8","49.68","5"
"1.100","test_track","0.1650","160","0.85","0","0","0","-10","49.67","5"
"1.133","test_track","0.1700","158","0.70","10","10","0","-8","49.66","5"
"1.167","test_track","0.1750","152","0.40","25","25","0","-5","49.65","4"
"1.200","test_track","0.1800","145","0.10","40","40","0","0","49.64","4"
"1.233","test_track","0.1850","135","0.00","55","55","0","5","49.63","3"
"1.267","test_track","0.1900","125","0.00","45","45","0","10","49.62","3"
"1.300","test_track","0.1950","118","0.10","25","25","0","8","49.61","3"
"1.333","test_track","0.2000","115","0.30","10","10","0","5","49.60","3"
"1.367","test_track","0.2050","118","0.50","0","0","0","2","49.59","3"
"1.400","test_track","0.2100","125","0.75","0","0","0","0","49.58","4"
"1.433","test_track","0.2150","132","0.90","0","0","0","-2","49.57","4"
"1.467","test_track","0.2200","140","1.00","0","0","0","-5","49.56","4"
"1.500","test_track","0.2250","148","1.00","0","0","0","-3","49.55","5"
"1.533","test_track","0.2300","155","1.00","0","0","0","0","49.54","5"
"1.567","test_track","0.2350","162","1.00","0","0","0","2","49.53","5"
